,brands,flavors,characteristics,text
6217,,мороженое,мороженщик,мороженщик
6218,бабл гам,,,бабл гам не
6219,,малиновый,,малина не
6220,наша,,птичка,наша птичка
6221,буше,,,буше
6223,брецель,,,брецель
6224,abero,,из Китая,из китая щетка abero
6225,Дубай,панкейк,,панкейк дубай
6226,суос,острый,,суос острый
6227,,без сахара,,мороженое  без саха
6228,чизкейк,чизкейковый,кейс,чизкейк кейс
6229,телапич,,,телапич
6230,Карнавал,звериный,,карнавал зверей
6231,rost,,,rost
6232,Sva,,кольцо,кольцо sva
6234,,мусс,,мусс
6235,,жева,,жева
6236,густера,,,густера
6237,цельнозерно,,цельнозерный,цельнозернлвлй
6238,огец,,,огец
6239,isko,,,оливки iska
6240,,,японский,японски
6241,,чесночный,,чеснок от
6242,,,эскимо,эскимо
6243,Шишкин,,,вода шишкин
6244,cup,, в тексте,cup
6245,тортольетти,,,тортольетки
6246,Nestea,"лемон, чай","солодкий, ароматный",nestea
6247,,рыбный,сучий,рычал су
6248,фрутонян,,,фрутонян
6249,,тушка утки,,тушка утки
6250,,,проволока,проволока
6251,,протеиновый,чипсы,чипсы протеиновый
6252,куйик,,,куьик
6253,abc,,,порошке abc
6254,Яндекс,,доска доставка,яндекс доска доставка
6255,сараф,,,сараф
6256,100,какао,,100 какао
6257,,,эко,эко
6258,штру,,,штру
6259,,"десерт, калорийный",без сахара,десерт калорий без сахара
6260,антарктик,,,антарктик
6261,lor,,,lor
6263,,сирый,,сироп об
6264,,каши,,каш
6265,,,гель для стирки,гель для стирки
6266,атломи,,,атломи
6268,,маковый,,маковый
6269,,вяленая рыбка,,вяленная рыбка
6270,épica,,,épica
6271,Дубайский,,мороженное,мороженное с дубайским
6272,детак,,хрустящие,детак
6274,chipi,,хрустящие,chipic
6275,китфуд,,боул,боул китфуд
6276,,плюшевый,плюшевый,плюшевый
6277,step,,,step
6278,любимый,гранат,,любимый гранат
6279,,гречневый,,гречка с ми
6280,,морковь,,моркковь
6282,,сливовый,,пюре слива
6284,hrustteam,,барная коллекция,хрусteam барная коллекция
6285,,канилони,,канилони
6286,шаверма,,,шавермащ
6287,чиа,зерновой,,зерновая чиаб
6288,LED,,лампа,лампа led
6289,,мясной,к пиву,мясо к пиву
6291,,"хлопковый, чизкейк",,хлопковый чизкейк
6292,,паприка,,паприка
6293,самачки,,,самачки
6294,универс,,салфетки,салфетки универс
6295,пильмен,,,пильмен
6296,,,,к чаю
6297,,безгазовая вода,,воду без газа
6298,минералимон,,,минералимон
6299,голень,троекуровский,,голень троекурово
